ชื่อปั๊มน้ำมัน,แบรนด์,Latitude,Longitude,Google Maps Link,ห่างจากปั๊มก่อนหน้า (KM),น้องกิ๊ฟท์น้องมิ้นท์,เสี่ยโอ๊ค เห้ยโห,,,ฟังชั่นที่เเอบคิดได้สำหรับ ตัว App,Future improvement 
Caltex,Caltex (คาลเท็กซ์),19.91466,99.84561,https://maps.google.com/?cid=7819198058654415296&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0,✅,,,,สำหรับคนมีบัตรปั้ม หรือ อยากเข้าเเค่ปัั้มบางเเบรนด์ ก็จะให้เลือกเเค่เเบรนด์นั้นได้ ดูได้สะดวก,ในอนาคตสามารถเพิ่มเส้นทางอื่นได้ เผื่อมีใครอยากทำต่อ
PT Station - wiang,PT (พีที),19.9143,99.84382,https://maps.google.com/?cid=17091877269411911825&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.19,✅,,,,กรอกปริมาณน้ำมันได้ ให้ App ช่วยคำนวณ ว่าน้ำมันประมาณนี้ จะไปหมดที่กิโลเมตรเท่าไหร่ + ปั้มเเนะนำ + ระบบเเจ้งเตือน,
PTT Station (Petrol+NGV+EV),PTT (ปตท),19.90324,99.84087,https://maps.google.com/?cid=763582454633483617&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.04,✅,,,,,
PT Station Chiang Rai 4,PT (พีที),19.89638,99.83892,https://maps.google.com/?cid=1744369372674798028&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.52,✅,,,,,
Bangchak Station (Petrol+EV),Bangchak (บางจาก),19.88249,99.83384,https://maps.google.com/?cid=7508331087064879376&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.59,✅,,,,,
PTT Station (Petrol+EV) (Mae Kon Petroleum Company Limited),PTT (ปตท),19.87537,99.82924,https://maps.google.com/?cid=6013310469751993248&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.6,✅,,,,,
PT STATION - เชียงราย 7 (น้ำมัน+LPG),PT (พีที),19.87137,99.82711,https://maps.google.com/?cid=3637315646974743126&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.59,✅,,,,,
Bangchak Service Station,Bangchak (บางจาก),19.84005,99.79511,https://maps.google.com/?cid=11673386835964275544&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.88,✅,,,,,
PT Service Station,PT (พีที),19.84026,99.79571,https://maps.google.com/?cid=17207388795840116416&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.5,✅,,,,,
ปั๊มน้ำมัน พีที แม่ลาว 1,PT (พีที),19.8023,99.7536,https://maps.google.com/?cid=7714506471407772807&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,6.42,✅,,,,,
